P.k1.,T.k2.,Dry_Price.k3.,Wet_Price.k4.,Capital_cost.k5.,OM_cost.k6.,Sediment.k7.,Seismic.k8.,NPV,Build_decision
-40,2,0.168,0.023,300,50,0.6,0,-18.42819561,0
-20,2,0.168,0.023,300,50,0.6,0,-3.239672967,0
0,2,0.168,0.023,300,50,0.6,0,6.815019815,1
20,2,0.168,0.023,300,50,0.6,0,12.81956939,1
40,2,0.168,0.023,300,50,0.6,0,19.05642159,1
-40,4,0.168,0.023,300,50,0.6,0,-19.6916364,0
-20,4,0.168,0.023,300,50,0.6,0,-4.880606252,0
0,4,0.168,0.023,300,50,0.6,0,5.815538506,1
20,4,0.168,0.023,300,50,0.6,0,11.47815171,1
40,4,0.168,0.023,300,50,0.6,0,17.43028448,1
-40,6,0.168,0.023,300,50,0.6,0,-20.04334221,0
-20,6,0.168,0.023,300,50,0.6,0,-5.755706651,0
0,6,0.168,0.023,300,50,0.6,0,4.996088746,1
20,6,0.168,0.023,300,50,0.6,0,10.35382653,1
40,6,0.168,0.023,300,50,0.6,0,15.77008039,1
-40,0,0.042,0.046,300,50,0.6,0,-18.65469496,0
-20,0,0.042,0.046,300,50,0.6,0,-0.672970807,0
0,0,0.042,0.046,300,50,0.6,0,7.346551438,1
20,0,0.042,0.046,300,50,0.6,0,8.88486431,1
40,0,0.042,0.046,300,50,0.6,0,10.47329613,1
-40,2,0.042,0.046,300,50,0.6,0,-20.07401047,0
-20,2,0.042,0.046,300,50,0.6,0,-2.387739607,0
0,2,0.042,0.046,300,50,0.6,0,7.186854954,1
20,2,0.042,0.046,300,50,0.6,0,8.687992347,1
40,2,0.042,0.046,300,50,0.6,0,10.2472054,1
-40,4,0.042,0.046,300,50,0.6,0,-21.26163234,0
-20,4,0.042,0.046,300,50,0.6,0,-4.307214057,0
0,4,0.042,0.046,300,50,0.6,0,6.936984627,1
20,4,0.042,0.046,300,50,0.6,0,8.352637927,1
40,4,0.042,0.046,300,50,0.6,0,9.84067112,1
-40,6,0.042,0.046,300,50,0.6,0,-21.70293197,0
-20,6,0.042,0.046,300,50,0.6,0,-5.549289136,0
0,6,0.042,0.046,300,50,0.6,0,6.732122187,1
20,6,0.042,0.046,300,50,0.6,0,8.071556632,1
